Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
ABPL;Handel hurtowy;34,84;BBB                      ;5,85;47,6242497055161;+33%;34,27;16,11;-5,36;40,7;46,37;37,48;38,56;33,18;43,17;125,01;41,27;162,38;46,48;2015-01-01 - 2015-12-31;2,00%
AGORA;Media;11,54;AAA                      ;8,58;48,4570619383534;+49%;24,55;15,15;9,73;3,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;30,65;5,36;26,23;3,98;30,39;17,14;2011-01-01 - 2011-12-31;10,72%
AGROWILL;Spożywczy;1,5;BB+                      ;5,32;12,4164784297046;+8%;1,55;1,55;0,17;1,9;2,61;1,72;1,78;3,09;2,07;0,68;1,89;0,05;1,62; - ;brak
AILLERON;Informatyka;6,05;AAA                      ;8,69;33,8659434694044;+58%;5,31;1,64;1,92;7,6;8,48;6,46;6,84;19,71;10,27;14,37;9,69;15,4;9,58; - ;brak
ALCHEMIA;Metalowy;5;AA                       ;7,4;13,9167605;-59%;2,87;2,73;1,21;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,42;Wycena niemozliwa;2,84;Wycena niemozliwa;2,96;2,04; - ;brak
ALTA;Deweloperzy;3,54;AAA                      ;67,25;29,950812974594;+163%;12,47;12,47;6,15;2,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,69;2,42;1,11;2,88;1,54;9,31;2010-01-01 - 2010-12-31;1,00%
AMBRA;Spożywczy;7,54;AA-                      ;7,01;28,9209463981004;+57%;10,92;8,54;3,56;8,5;12,45;Wycena niemozliwa;Wycena niemozliwa;21,81;7,82;10,09;7,78;12,1;11,82;2015-01-01 - 2015-12-31;5,68%
AMICA;Elektromasz.;174;BBB                      ;6,19;50,4045324196334;-13%;76,24;60,3;10,51;122,7;154,31;99,47;107,21;114,72;196,24;231,95;227,19;286,03;152,11;2014-01-01 - 2014-12-31;1,78%
APATOR;Elektromasz.;27,4;BBB+                     ;6,35;65,3941060490238;-29%;12,87;6,74;3,41;19,1;19,24;15,98;17,02;19,37;25,04;20,05;27,18;22,01;19,34;2015-01-01 - 2015-12-31;3,53%
ASSECOBS;Informatyka;15,99;AAA                      ;17,79;33,0946170548479;-22%;7,96;2,52;4,55;10;10,62;8,98;9,32;29,53;13,08;12,33;14,98;15,4;12,55;2014-01-01 - 2014-12-31;5,18%
ASSECOSEE;Informatyka;9,3;AAA                      ;9,78;20,55662967368;+113%;13,28;3,2;6,58;18,7;18,99;15,99;16,89;49,31;11,03;25,5;12,68;30,4;19,85;2015-01-01 - 2015-12-31;4,62%
ATLANTAPL;Handel hurtowy;6,58;AA+                      ;7,93;32,9479420555544;+57%;10,91;10,67;1,32;11,5;11,16;11,2;11,3;10,56;11,05;12,78;6,92;8,82;10,32;2015-01-01 - 2015-12-31;7,58%
AVIAAML;Inne;3,64;AAA                      ;11,36;33,2770642350978;+201%;9,73;9,73;5,43;10,4;11,02;10,07;10,18;22,77;11,14;5,96;12,77;5,56;10,94;2014-01-01 - 2014-12-31;5,40%
AVIASG;Inne;14,8;BB                       ;4,98;30,1712558742684;+9%;27,98;26,77;4,15;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;65,46;Wycena niemozliwa;345,63;Wycena niemozliwa;228,24;16,06; - ;brak
BETACOM;Informatyka;9,09;BB                       ;5,05;46,460396039604;+100%;9,87;9,1;0,68;7,3;14,54;Wycena niemozliwa;Wycena niemozliwa;36,64;9,41;144,77;20,02;176,56;18,22;2014-01-01 - 2014-12-31;6,27%
BIOTON;Farmaceutyczny;12,07;BB-                      ;4,86;40,4990252049166;-23%;13,71;3,54;4,91;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;29,01;Wycena niemozliwa;8,18;Wycena niemozliwa;5,83;9,31; - ;brak
BUMECH;Elektromasz.;0,7;B-                       ;3,98;19,5361207646041;+132%;1,2;1,03;-0,19;1,1;1,32;Wycena niemozliwa;Wycena niemozliwa;1,8;2,7;1,64;2,36;1,11;1,62; - ;brak
BZWBK;Banki;290;B+                       ;4,52;25,4378924175731;-24%;207,27;185,56;-178,44;255,4;Wycena niemozliwa;231,33;239,36;191,29;376,64;193,02;353,71;655,22;219,30;2013-01-01 - 2013-12-31;2,75%
CCC;Handel detaliczny;146,5;AAA                      ;8,86;57,8115234375;-63%;29,18;28,98;11,5;55,5;39,93;42,34;46,73;61,28;88,77;35,99;99,15;58,5;54,16;2014-01-01 - 2014-12-31;1,75%
CHEMOS;Inne;1,84;BBB-                     ;5,67;39,9088153553934;+5%;3,23;2,63;0,64;0,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;7,56;2,7;25,1;1,38;16,08;1,94;2011-01-01 - 2011-12-31;4,17%
CIGAMES;Informatyka;20,6;AAA                      ;9,67;48,6938877969017;-81%;5,41;2,1;2,58;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;20,07;Wycena niemozliwa;4,89;Wycena niemozliwa;5,73;4,00; - ;brak
CNT;Budownictwo;7,34;AAA                      ;9,54;35,5893179317932;+43%;6,14;6,13;4,89;5,2;7,98;Wycena niemozliwa;Wycena niemozliwa;7,28;5,23;30,12;12,1;51,17;10,46;2014-01-01 - 2014-12-31;5,58%
COMARCH;Informatyka;126,7;AAA                      ;8,34;56,7153948514935;+46%;95,82;82,63;40,9;97;120,94;96,41;96,61;355,66;152,54;378,2;170,84;445,14;184,56;2013-01-01 - 2013-12-31;1,90%
COMP;Informatyka;52,5;BBB+                     ;6,27;36,8111996442154;+169%;76,1;8,58;20,28;47,2;84,68;Wycena niemozliwa;Wycena niemozliwa;282,48;74,48;321,05;78,58;369,31;141,17;2014-01-01 - 2014-12-31;1,58%
DEBICA;Motoryzacyjny;89,7;AA-                      ;7,14;18,603814457264;+12%;72,4;72,4;29,9;56,8;82,14;Wycena niemozliwa;Wycena niemozliwa;166,93;72,8;138,21;77,55;143,03;100,17;2014-01-01 - 2014-12-31;3,94%
DELKO;Handel hurtowy;8,35;B+                       ;4,6;49,980602006689;+58%;8,31;2,92;-1,19;13,8;12,99;11,06;11,97;8,05;13,63;23,69;10,94;25,29;13,23;2014-01-01 - 2014-12-31;3,12%
DOMDEV;Deweloperzy;50;AAA                      ;9,71;22,359316065804;+17%;35,66;35,52;16,97;32,6;38,38;Wycena niemozliwa;Wycena niemozliwa;24,85;52,73;122,98;56,7;163,84;58,28;2015-01-01 - 2015-12-31;6,21%
DROZAPOL;Handel hurtowy;2,05;AA+                      ;7,65;52,250451495861;+219%;8,78;8,77;4,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,5;Wycena niemozliwa;6,46;Wycena niemozliwa;9,48;6,54;2007-01-01 - 2007-12-31;7,28%
EFEKT;Handel hurtowy;20;CCC+                     ;3,51;55,006936312044;+3%;17,97;17,58;-12,29;27;26,16;22,48;23,99;17,4;41,85;7,12;28,9;Wycena niemozliwa;20,60;2014-01-01 - 2014-12-31;9,97%
EKOEXPORT;Inne;12,1;BBB+                     ;6,32;66,0240856296971;-67%;6;5,85;2,07;5,21;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;9,68;6,46;3,92;6,44;3,22;4,04;2013-01-01 - 2013-12-31;1,89%
ELEKTROTI;Budownictwo;17,67;AA                       ;7,48;49,8609587550207;+6%;9,73;8,84;4,33;20,3;19,76;15,01;16,78;11,55;19,8;17,91;28,22;31,46;18,76;2014-01-01 - 2014-12-31;4,67%
ELZAB;Informatyka;15,99;BBB                      ;5,93;11,8587969920153;-37%;4,92;4,3;0,89;6,9;7,88;5,91;6,24;18,27;10,59;19,61;9,16;20,56;10,01;2014-01-01 - 2014-12-31;5,31%
EMPERIA;Handel detaliczny;56,01;BB                       ;5,15;50,5659553114786;+31%;44,93;40,65;14,93;36,5;50,04;Wycena niemozliwa;Wycena niemozliwa;94,35;56,94;94,75;77,52;187,42;73,65;2014-01-01 - 2014-12-31;1,85%
ENAP;Budownictwo;0,94;AAA                      ;8,41;54,7878322440185;+7%;0,82;0,82;0,46;0,5;0,96;Wycena niemozliwa;Wycena niemozliwa;0,98;0,63;0,97;1,06;1,76;1,01;2014-01-01 - 2014-12-31;4,85%
ERGIS;Tworzyw sztucznych;4,4;BB+                      ;5,31;31,7409409968139;+88%;4,95;4,42;0,25;Wycena niemozliwa;5,67;Wycena niemozliwa;Wycena niemozliwa;6,89;10,31;13,29;12,15;14;8,26;2014-01-01 - 2014-12-31;2,95%
EUROCASH;Handel detaliczny;52,85;CCC                      ;2,89;50,028946556591;-48%;8,41;-2,76;-5,55;16,6;26,5;12,5;13,87;17,66;32,1;87,61;39,88;166,72;27,32;2014-01-01 - 2014-12-31;2,13%
FAMUR;Elektromasz.;1,61;AAA                      ;8,96;12,7001254413292;-18%;1,85;1,36;0,78;1,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,78;0,93;1,43;1,04;1,75;1,32;2013-01-01 - 2014-12-31;17,07%
FASING;Metalowy;15,6;BBB                      ;6,08;39,8807112014518;> +250%;45,68;44,88;12,38;25,9;55,93;Wycena niemozliwa;Wycena niemozliwa;54,41;61,63;55,79;65,94;49,51;57,24;2014-01-01 - 2014-12-31;4,48%
GPW;Rynek kapitałowy;37,49;AAA                      ;11,42;65,0041217954827;-17%;17,18;10,95;9,68;29,5;21,82;23,34;25,39;49,63;40,67;31,99;34,88;48,33;31,24;2014-01-01 - 2014-12-31;4,96%
GRAAL;Spożywczy;28,88;BB+                      ;5,26;33,3782660800585;+83%;37,25;28,76;8,15;36,7;43,76;Wycena niemozliwa;Wycena niemozliwa;74,39;34,37;73,53;42,98;105,81;52,81; - ;brak
GRAVITON;Rynek kapitałowy;0,27;D                        ;-1,35;40,0475151515152;+226%;1,12;1,12;0,64;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;3,23;Wycena niemozliwa;0,16;Wycena niemozliwa;0,05;0,88;2007-01-01 - 2007-12-31;5,00%
GRODNO;Handel hurtowy;5,6;BB-                      ;4,8;24,1689415864569;-14%;3,21;3,15;-0,77;5,2;6,38;4,2;4,54;3,11;5,01;5,8;5,84;6,71;4,84;2014-01-01 - 2014-12-31;2,14%
HERKULES;Budownictwo;4,04;BB                       ;5,15;64,2958329167832;+29%;5,09;4,66;0,74;6,4;6,08;5,74;5,96;6,04;6,97;1,82;6,31;0,69;5,22;2014-01-01 - 2014-12-31;1,47%
IMS;Inne;2,09;AAA                      ;8,8;22,3319172542309;-10%;0,49;0,43;0,19;2;0,95;1,25;1,5;1,15;2,92;3,62;2,99;2,53;1,88;2014-01-01 - 2014-12-31;3,36%
INGBSK;Banki;122;B                        ;4,27;19,1575710991545;-32%;82,09;78,87;-160,48;86,6;Wycena niemozliwa;84,34;85,1;75,76;126,81;86,93;Wycena niemozliwa;67,52;83,22;2015-01-01 - 2015-12-31;3,57%
INTERAOLT;Energetyka;19;AA                       ;7,43;20;+6%;5,33;3,66;0,94;39,5;12,54;22,42;28,11;4,36;17,4;20,38;34,54;39,6;20,09;2014-01-01 - 2014-12-31;12,21%
INTERBUD;Budownictwo;0,88;XXX;4,58;33,3693557582668;> +250%;3,66;3,52;-2,34;8,3;3,85;5,98;6,75;4,35;18,77;6,47;16,15;3,41;7,25;2011-01-01 - 2011-12-31;8,24%
INTERCARS;Handel hurtowy;218,95;AA+                      ;7,86;33,2347880096837;-55%;85,57;74,88;25,24;111,1;102,5;98,34;102,59;82,86;100,39;96,76;107,5;95,43;98,73;2014-01-01 - 2014-12-31;0,31%
INTROL;Elektromasz.;8,4;BBB                      ;6,16;54,7573914740904;-1%;5,33;5,08;1,47;6,1;6,3;5,72;5,84;8,02;9,04;13,42;10,59;16,94;8,33;2014-01-01 - 2014-12-31;2,38%
IZOLACJA;Mat. budowlanych;1,05;AA                       ;7,56;48,9167368421053;+58%;2,32;2,32;1;0,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,17;0,83;2,83;0,44;3,05;1,66; - ;brak
KCI;Deweloperzy;0,03;AAA                      ;8,51;20,5633286365747;> +250%;0,24;0,06;0,12;0,11;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;0,17;Wycena niemozliwa;0,2;Wycena niemozliwa;0,24;0,18; - ;brak
KONSSTALI;Handel hurtowy;30,5;BB+                      ;5,57;50,0781613109057;+12%;52,95;36,33;15,36;32,3;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;51,27;31,29;55,39;31,94;66,4;34,16;2014-01-01 - 2014-12-31;3,49%
KOPEX;Elektromasz.;2,35;XXX;5,63;24,8381980445764;> +250%;27,84;13,09;10,19;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;41,89;Wycena niemozliwa;12,69;Wycena niemozliwa;9,45;19,02;2014-01-01 - 2014-12-31;4,80%
LABOPRINT;Inne;10,12;B-                       ;4,13;8,64108801415303;-12%;2,26;1,81;-0,61;5,6;5,72;3,93;4,49;5,29;9,11;27,72;9,61;19,59;8,94; - ;brak
